NAME,ENG_NAME,LON,LAT
十全分隊,Shi Quan Squad,120.311278,22.645048
大昌中隊,Da Chang Squadron,120.324949,22.649296
大林分隊,Da Lin Squad,120.346013,22.527071
小港分隊,Xiao Gang Squad,120.336359,22.562935
中華中隊,Zhong Hua Squadron,120.291603,22.650121
五甲分隊,Wu Jia Squad,120.334907,22.597585
右昌分隊,You Chang Squad,120.291699,22.717697
左營分隊,Zuo Ying Squad,120.295412,22.69058
左營分隊,Zuo Ying Squad,120.285678,22.671423
成功分隊,Cheng Gong Squad,120.307428,22.593132
前金分隊,Qian Jin Squad,120.294237,22.628565
前鎮中隊,Qian Zhen Squadron,120.318968,22.586569
苓雅大隊,Ling Ya Brigade,120.330503,22.622769
高桂中隊,Gao Gui Squadron,120.3706,22.562363
新莊分隊,Xin Zhuang Squad,120.318062,22.675403
新興中隊,Xin Xing Squadron,120.311268,22.630445
楠梓中隊,Nan Zi Squadron,120.325331,22.736872
瑞隆分隊,Rui Long Squad,120.325673,22.60025
鼎金大隊,Ding Jin Brigade,120.321707,22.666885
鼓山分隊,Gu Shan Squad,120.27548,22.623349
旗津分隊,Qi Jin Squad,120.288178,22.585897
鳳山中隊,Feng Shan Squadron,120.362853,22.627605
鳳祥大隊,Feng Xiang Brigade,120.359307,22.592531
